[2026-03-15 18:21:16] [Systran/faster-distil-whisper-large-v3 | 0.98s] We are now recording in English. This is our main language. Let's see what it does.
[2026-03-15 19:37:19] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.04s] Uiteraard praat ik nu ook met jou vanuit mijn app, dus ik ben niet aan het typen.
[2026-03-15 19:37:29] [deepdml/faster-whisper-large-v3-turbo-ct2 | 0.70s] Heb jij ook al ervaring met apps maken voor je iOS device, voor je telefoon?
[2026-03-15 19:37:56] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.39s] Het lijkt me namelijk heel erg leuk om dit ook te doen op mijn telefoon. Want ik zou heel graag mijn audio opnemen en die meteen in mijn WhatsApp als tekst output geven. En tot nu toe zijn het opbetaalde apps en die werken vaak niet zo fijn. Of het zijn apps die alleen de audio opnemen maar het niet transcriberen.
[2026-03-15 19:38:11] [deepdml/faster-whisper-large-v3-turbo-ct2 | 0.88s] Dus toen dacht ik, waarom niet zelf maken?
[2026-03-15 19:38:23] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.00s] Wat voor apps heb jij geprobeerd daarvoor? En is het lastig om die neer te zetten?
[2026-03-15 19:39:46] [deepdml/faster-whisper-large-v3-turbo-ct2 | 0.92s] Holy moly, dat ziet er vet uit, hè. Goeie site.
[2026-03-15 19:40:17] [deepdml/faster-whisper-large-v3-turbo-ct2 | 0.87s] En die zit nu even in de beta fase en later zou je die als je wil kunnen verkopen.
[2026-03-15 19:41:30] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.01s] Ah, dus jij hebt echt een MacBook waar je dat op doet, begrijp ik dan.
[2026-03-15 19:41:36] [deepdml/faster-whisper-large-v3-turbo-ct2 | 0.87s] Of een Mac Mini. Ja, dat is natuurlijk ook lekker.
[2026-03-15 19:41:55] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.11s] Wat een gekkigheid joh. Die gasten gaan toch ook eindeloze hoeveelheid apps op dat ding krijgen? Omdat iedereen nu zo lekker kan bouwen.
[2026-03-15 19:42:57] [Systran/faster-distil-whisper-large-v3 | 1.74s] Let's continue building our app. One thing that is not completely clear yet at this moment is when I'm recording, whether the recording is happening. An indicator of this is the sound it makes, but it would be nice if we had an indicator that clearly shows while we're recording. So is it possible to introduce an icon that will appear floating on my screen while we are recording? That could be a talking wave. Make some suggestions on how we could do this.
[2026-03-15 19:44:28] [Systran/faster-distil-whisper-large-v3 | 1.03s] Let's go for option two and make some suggestions of what we could make that look like. And I like it when it's moving. So it zoom is slightly in and then out. So it pulses through an animation. I want to make it look high quality though.
[2026-03-15 19:44:57] [Systran/faster-distil-whisper-large-v3 | 0.99s] I make now, for example, the open AI whisper models. That's in open source and I'm over all using. So that would I even though also can do for the application for up your apple.
[2026-03-15 19:45:56] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.24s] Ja, ik kan me voorstellen. Dat klinkt ook wel heel vet. Ik vind het moeilijk te geloven dat dat allemaal kan. Dus ik zou dan gebruik kunnen maken van OpenAI's Whisper modellen, wat ik nu ook doe. En dan met de schil van Apple eromheen, kan het een applicatie worden.
[2026-03-15 19:47:41] [Systran/faster-distil-whisper-large-v3 | 1.10s] Okay, here's our recording. I wanna see that it works. I wanna see that it works. I wanna see that it works.
[2026-03-15 19:47:52] [Systran/faster-distil-whisper-large-v3 | 0.79s] Ah, here's the red dot. I can see that it's here. Okay.
[2026-03-15 19:49:09] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.35s] Ik was dus echt aan het genieten toen ik door had dat ik template files en Power BI gewoon geheel met cloud code kan configureren. Via alle Power BI project files. Want ik moest daar nog zoveel dingen klikken in de terrein. Ik had er echt geen zin in. Maar dit fikste het.
[2026-03-15 19:50:11] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.41s] Je bent wel echt in no time. Dan ben je gewoon een dag verder met dit. Dus ik ben om tien uur begonnen vanochtend. En ik ben nu nog bezig. En het geeft veel voldoening. En het lukt. Maar je hebt telkens weer nieuwe ideeën. Dat is natuurlijk het ding.
[2026-03-15 19:50:57] [Systran/faster-distil-whisper-large-v3 | 1.08s] I see so many pixels. So either we need to make that pill smaller with a larger resolution. My resolution is 1440p or we need to increase the number of pixels.
[2026-03-15 19:51:34] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.17s] Het nieuwe motto van Stefan is, kan niet, bestaat niet. Als er ook maar iets is wat hem stoort, bouwt hij een applicatie om het op te lossen, in no time. Je hebt nu een klacht, over twee uur is hij opgelost.
[2026-03-15 19:52:39] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.65s] Ja, ik moet ook heel eerlijk bekennen dat ik er nog geen bal van snap. Want momenteel betekent dat gewoon... Ik heb Cloud Code open, Visual Studio Code. En ik weet eigenlijk helemaal niet zo goed hoe al de scriptjes samenwerken. Maar af en toe vraag ik gewoon waar moet ik klikken. En dan zegt hij waar ik moet klikken. Dus dat doet wel wat. Dus dat is een soort learning while we're doing. Maar eigenlijk ook wel wat bizar.
[2026-03-15 19:53:30] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.13s] Heb jij ook behoefte aan zo'n audio naar tekst applicatie? Je hebt natuurlijk allemaal betaalden ervoor, maar deze is echt super vet. Vind jij dat ook leuk om te hebben? Anders delen ik hem met je.
[2026-03-15 19:54:06] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.26s] Maar goed, dan kom je natuurlijk ook weer bij de support van zo'n product. Want ik gebruik hem nu met mijn NVIDIA GTX 3050 met de Kuda Cores. En als je natuurlijk geen videokaart hebt zoals deze, daar heb ik geen support voor in gebouwd.
[2026-03-15 19:54:22] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.10s] Ja, ik heb een mapje met Git allereerst voor de source control gedaan en hij synchroniseert met GitHub. Het is nu een private repository.
[2026-03-15 19:54:36] [deepdml/faster-whisper-large-v3-turbo-ct2 | 0.96s] Dat klinkt alsof ik er veel van weet, maar dit zeg ik alleen maar omdat ik het ergens gelezen heb hoor.
[2026-03-15 19:55:11] [Systran/faster-distil-whisper-large-v3 | 1.21s] I would like the model to only show the red dot. You can remove the timer and I just want to see the red pulsing dot. And what I would like is that red dot can be empty on the inside and it only needs to have an outer red circle that will pulsate. And to do that it needs very high pixel density and the rest of it can be see-through.
[2026-03-15 19:57:01] [deepdml/faster-whisper-large-v3-turbo-ct2 | 0.64s] Ik doe tot nu toe ook nog niets met skills of projecten.
[2026-03-15 19:57:21] [deepdml/faster-whisper-large-v3-turbo-ct2 | 0.97s] En ben jij momenteel helemaal los van alle Power BI dingen en vooral applicaties aan het bouwen daarnaast?
[2026-03-15 19:58:10] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.52s] Ja, ik denk wel dat banen heel erg anders worden. Dus ik zeg niet per se dat iedereen zijn baan kwijt is, maar wel dat er heel veel mensen door dienen te groeien en net even wat anders gaan doen. Bepaalde werkzaamheden kan ik nu heel makkelijk bouwen, maar dan komt er wel weer tijd over voor andere dingen. Dus ik denk wel weer dat er nog heel veel daarnaast nog gedaan moet worden. Ja, ik vind het ook lastig voorspellen.
[2026-03-15 19:59:04] [deepdml/faster-whisper-large-v3-turbo-ct2 | 0.66s] Ja, dat. Dat is ook handig. Of om met jou te kletsen.
[2026-03-15 19:59:50] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.63s] Nou, dat klinkt eigenlijk ook wel heel lekker. Fijn, dat ik toch zo gezellig was. Wij waren uiteindelijk... Ik had een vriend die kwam eten, toen hebben we spelletjes gedaan. Toen zijn we eerst even bij Staten geweest om een biertje te drinken. En toen hebben we nog eventjes gedanst bij een paar leuke tentjes in de stad. Hij had best wel veel gedronken, dus hij had een beetje een kater vandaag. Maar bij mij viel het gelukkig mee.
[2026-03-15 20:00:47] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.21s] Oh my god, je hebt al sportieve familie zo te horen. Zodat die broer met wie je ook in Colombia was. Ik zie je profielfoto ook. Dat is echt precies daar bij La Ciudad Perdida.
[2026-03-15 20:01:30] [deepdml/faster-whisper-large-v3-turbo-ct2 | 0.88s] Oeh, dat klinkt allemaal nog wel heel ingewikkeld moet ik bekennen.
[2026-03-15 20:02:14] [deepdml/faster-whisper-large-v3-turbo-ct2 | 2.30s] Ik zet er wel aan te denken om bepaalde skills te bouwen voor best practices in Power Query bijvoorbeeld. Naming conventions, bepaalde stappen die net wat efficiënter zijn voor je code. En daar heb ik nu heel veel losse uitgebreide prompts voor. Maar daar zou je natuurlijk een skill van kunnen maken of meerdere prompts achter elkaar laten losgaan. En hoe vet als je dan een model krijgt en dat je naar Cloud Code al die queries kan laten aanpassen volgens jouw best practices en dan vervolgens opslaan. even of we dat kunnen want voorheen konden we namelijk geen power query logica aanpassen via tabular editor 3 maar misschien kan dat nu wel
[2026-03-15 20:03:07] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.24s] Nou, ik hoor het alweer. Ik ga zo even stoppen, want ik zou nog gaan dansen vanavond. En voor je het weet is het laat. Maar leuk om het gesprek gaande te houden. Thanks voor al je ideeën en meekletsen.
[2026-03-15 20:03:41] [deepdml/faster-whisper-large-v3-turbo-ct2 | 0.71s] Ik ga je weer spreken.
[2026-03-15 20:03:50] [deepdml/faster-whisper-large-v3-turbo-ct2 | 0.77s] Juist.
[2026-03-15 20:04:21] [Systran/faster-distil-whisper-large-v3 | 1.20s] This already looks really great, but I would like that circle to be smaller, so it should be about 40% smaller than it currently is. And I would like it if it could look like glass, so that the other circle is like a glass red that looks 3D and make it super realistic.
[2026-03-15 20:05:21] [Systran/faster-distil-whisper-large-v3 | 0.83s] How do I make a repository from private to public in GitHub?
[2026-03-15 20:06:51] [Systran/faster-distil-whisper-large-v3 | 0.77s] We're gonna talk. We're gonna talk, talk, talk, talk, talk.
